Q1,Q5_2A1,Q5_2A2,Q5_2A3,Q9_2A1,Q9_2A2,Q9_2A3,Q10_1B1,Q10_1B2,Q10_1B3,Q10_1B4,Q10_1B5,Q10_1B6,Q10_1B7,Q10_1B8,Q10_1B9,Q10_1B10,Q10_1B11,Q10_1B12,Q10_1B13,Q10_1B14,Q10_1B15,Q10_1B16,Q10_1B17,Q10_2A1,Q10_2A2,Q10_2A3,Q14_1T,CQ14_2_1,CQ14_2_2,CQ14_2_3,CQ14_2_4,CQ14_2_5,CQ14_2_6,CQ14_2_7,ID,D_MON,D_COU1,D_GEN,D_AGE,D_Q5_1,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A10,Q15_2A12,Q16,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q14_2_10,D_YEAR
20.0,,,,2.0,1.0,,1.0,,,,,,,,,10.0,,,,,,,,명동/남대문/북창,,,5486.8,2.0,,5.0,4.0,2.0,1.0,1.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,,,,,2.0,2018-04
5.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,청담동/압구정동,1793.2199999999998,2.0,,5.0,4.0,1.0,1.0,1.0,6.0,5.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,,3.0,,,1.0,2018-05
1.0,3.0,7.0,5.0,3.0,1.0,2.0,1.0,,,,,,,,9.0,,,,,,,,,춘천 (남이섬),명동/남대문/북창,,725.76,2.0,,4.0,4.0,1.0,1.0,3.0,6.0,6.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,2.0,,,,1.0,2018-06
3.0,2.0,4.0,6.0,2.0,8.0,7.0,1.0,,,,,,,,,,,,,,,,,"이태원 (이태원 세계 음식거리, 한남동)",코엑스,동대문 패션타운,2466.75,3.0,,5.0,4.0,3.0,1.0,4.0,6.0,7.0,2.0,2.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,,,3.0,,,3.0,2018-07
1.0,6.0,2.0,,5.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,명동/남대문/북창,해운대 일대,,1586.52,3.0,,4.0,4.0,3.0,1.0,4.0,6.0,8.0,2.0,2.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,,,,,2.0,2018-08
1.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,강남역,,,1140.36,4.0,,4.0,1.0,2.0,1.0,1.0,6.0,9.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,,,,4.0,,2.0,2018-09
4.0,11.0,2.0,5.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,동대문 패션타운,명동/남대문/북창,신촌/홍대주변,1970.2680000000005,,3.0,5.0,4.0,2.0,1.0,1.0,6.0,10.0,2.0,2.0,2.0,1.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,,,,,2.0,2018-10
1.0,2.0,5.0,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,명동/남대문/북창,동대문 패션타운,,928.0,2.0,,5.0,3.0,1.0,1.0,1.0,6.0,12.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,,2.0,,,,1.0,2018-12
1.0,2.0,8.0,7.0,8.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,동대문 패션타운,명동/남대문/북창,강남역,1060.0,2.0,,4.0,4.0,1.0,2.0,1.0,7.0,1.0,14.0,2.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,,,,,1.0,2018-01
3.0,,,,11.0,4.0,1.0,1.0,,,,,,,,,,11.0,,,,,,,명동/남대문/북창,천안 (독립 기념관),,1239.2722320000005,4.0,,1.0,4.0,1.0,1.0,2.0,7.0,2.0,5.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,,,,,3.0,2018-02
